date,year,iso_week,week_of_year,ccfi,source_image,source_row,ocr_text,status,review_note
2026-03-20,2026,2026-W12,12,1120.61,微信图片_20260524162055_1116_1.jpg,10,"20260320 1,120.61",reviewed,
2026-03-27,2026,2026-W13,13,1139.04,微信图片_20260524162055_1116_1.jpg,9,"20260327 1,139.04",reviewed,
2026-04-03,2026,2026-W14,14,1184.70,微信图片_20260524162055_1116_1.jpg,8,"20260403 1,184.70",reviewed,
2026-04-10,2026,2026-W15,15,1209.84,微信图片_20260524162055_1116_1.jpg,7,"20260410 1,209.84",reviewed,
2026-04-17,2026,2026-W16,16,1211.08,微信图片_20260524162055_1116_1.jpg,6,"20260417 1,211.08",reviewed,
2026-04-24,2026,2026-W17,17,1233.76,微信图片_20260524162055_1116_1.jpg,5,"20260424 1,233.76",reviewed,
2026-04-30,2026,2026-W18,18,1269.64,微信图片_20260524162055_1116_1.jpg,4,"20260430 1,269.64",reviewed,
2026-05-08,2026,2026-W19,19,1278.79,微信图片_20260524162055_1116_1.jpg,3,"20260508 1,278.79",reviewed,
2026-05-15,2026,2026-W20,20,1280.46,微信图片_20260524162055_1116_1.jpg,2,"20260515 1,280.46",reviewed,
2026-05-22,2026,2026-W21,21,1317.36,微信图片_20260524162055_1116_1.jpg,1,"20260522 1,317.36",reviewed,
